20 Hz,35 Hz,50 Hz,70 Hz,95 Hz
106.1,79.8,81.9,53.7,58.9
219.0,88.2,44.0,92.6,41.3
95.7,99.9,62.3,51.4,57.8
115.1,99.3,76.5,42.6,28.2
109.9,84.3,66.6,50.9,45.1
130.1,76.3,59.2,63.9,42.0
110.2,113.7,84.1,93.1,46.7
174.4,76.0,73.7,60.9,66.8
105.7,124.7,46.6,53.1,58.7
103.8,80.6,50.5,55.9,43.5
177.6,88.8,62.6,76.0,65.6
84.0,79.8,103.9,45.1,42.6
118.5,98.9,85.5,44.9,56.3
92.7,112.1,95.3,52.1,54.9
119.0,60.2,66.9,57.3,44.2
125.7,102.4,67.8,53.4,49.2
108.4,85.7,21.9,52.5,39.8
174.4,113.1,76.4,61.1,52.3
173.6,131.2,76.6,80.2,62.8
98.8,101.1,70.0,50.3,36.3
90.0,146.1,105.1,68.0,38.9
83.9,73.6,85.8,65.0,27.7
68.7,80.9,58.3,39.7,52.0
84.7,75.2,54.8,47.4,46.6
81.7,51.4,67.5,34.4,49.9
152.1,59.5,57.5,47.0,45.7
109.3,108.6,62.8,65.6,41.5
96.1,72.3,68.3,61.7,53.0
85.2,92.8,84.1,62.7,47.6
212.5,134.3,66.5,36.5,60.1
251.4,61.2,102.7,73.5,33.8
216.4,89.6,66.3,57.6,42.9
143.0,82.2,75.2,55.4,47.5
79.6,124.4,93.3,42.9,32.8
81.5,101.7,62.1,71.1,66.3
138.7,84.9,75.3,48.3,59.7
192.3,59.3,55.3,85.5,53.1
156.3,103.3,75.6,54.2,52.5
106.1,121.9,82.8,65.9,47.6
96.8,87.4,54.8,35.6,43.7
105.9,98.4,103.1,77.3,61.1
117.4,93.5,45.1,51.5,38.9
87.1,74.1,72.7,61.2,55.9
120.7,84.6,50.4,47.9,63.4
109.7,59.5,64.4,39.5,49.6
80.3,70.8,55.4,96.8,61.6
160.2,75.5,79.8,51.7,42.5
60.2,101.4,67.4,54.4,53.9
107.9,73.9,74.6,38.5,37.5
106.9,72.3,55.8,43.6,24.4
185.7,101.4,66.4,49.5,53.9
105.4,109.8,78.5,54.5,60.7
63.8,112.1,16.7,55.3,65.4
92.0,111.9,103.6,54.7,33.6
181.4,111.2,82.2,54.3,46.5
122.4,81.1,67.1,62.7,43.3
151.3,88.7,62.3,46.5,58.6
116.8,64.7,85.5,54.7,20.1
73.9,125.9,55.6,64.0,60.7
99.0,74.4,168.3,35.8,51.7
100.1,58.9,84.5,65.0,39.5
111.0,88.3,76.2,86.5,55.3
150.3,98.9,91.9,80.6,56.1
155.8,87.1,61.4,93.5,72.2
105.4,99.6,74.5,79.8,64.9
69.6,98.7,69.3,67.2,53.1
129.5,86.5,71.0,51.2,37.7
84.9,102.8,81.2,43.3,27.4
120.4,74.5,80.9,59.4,28.0
130.7,117.8,63.8,63.4,45.8
80.6,68.0,75.9,53.8,38.9
119.0,106.9,64.3,45.0,56.0
83.7,67.7,65.6,56.6,47.0
157.8,110.0,82.7,51.0,51.7
90.6,116.6,81.9,53.3,40.4
106.4,79.1,85.6,81.4,49.4
109.2,138.6,63.3,47.3,66.9
116.2,68.8,59.4,61.8,59.8
83.2,70.3,52.1,64.6,100.7
136.4,85.5,72.8,66.2,18.4
61.4,72.5,51.8,78.8,55.1
147.5,97.7,63.6,82.4,48.6
171.3,73.3,70.1,85.4,46.7
91.2,137.6,74.9,41.4,89.1
52.7,101.1,84.2,57.1,21.7
117.0,69.2,62.8,54.8,40.7
170.1,87.2,66.2,50.5,22.4
104.7,97.3,55.5,53.3,84.5
139.5,78.5,57.5,54.9,43.4
107.1,88.1,77.7,58.4,71.3
108.4,111.1,91.9,44.2,31.8
