20 Hz,35 Hz,50 Hz,70 Hz,95 Hz
106.2,78.5,74.4,46.8,21.7
77.7,57.9,54.2,38.9,27.1
104.2,99.1,103.9,62.6,24.0
84.2,17.6,42.3,67.7,19.2
102.7,91.9,88.4,63.6,50.4
138.1,33.7,79.8,50.0,28.6
101.4,73.8,51.5,38.1,16.0
105.8,93.4,89.4,48.8,15.9
136.8,99.5,68.1,50.3,30.0
55.4,84.5,77.5,77.7,21.0
181.0,76.2,72.5,72.8,21.0
150.1,92.2,88.5,50.1,18.3
34.3,53.5,80.2,52.5,41.3
71.5,70.9,51.9,52.4,14.7
80.7,50.6,58.3,52.5,19.0
97.4,86.5,57.8,37.8,14.2
132.8,70.7,59.5,53.1,11.3
130.4,87.2,71.5,45.5,26.8
105.6,146.5,59.5,34.8,13.6
141.7,67.2,72.5,51.6,18.2
95.8,105.2,59.4,75.6,17.8
112.0,82.6,65.1,59.7,14.9
131.2,77.0,70.0,65.3,29.4
83.5,80.7,78.6,74.6,27.0
76.5,88.7,80.2,60.3,47.0
131.4,53.3,47.2,67.6,18.9
100.0,86.2,77.9,66.4,30.4
126.3,93.7,49.0,74.8,26.5
137.3,80.8,53.1,79.1,37.9
155.8,103.3,71.3,80.5,41.5
101.9,95.4,47.8,82.7,17.4
113.3,102.0,79.5,43.2,29.5
93.9,97.0,75.7,47.3,27.6
110.5,46.7,55.0,83.5,18.6
76.3,102.0,97.8,24.3,38.4
112.5,70.4,76.2,47.3,24.7
71.1,88.8,44.7,46.7,39.5
206.9,70.9,57.1,45.5,20.7
86.5,93.9,67.5,68.3,27.4
103.1,74.0,51.6,61.1,40.0
108.8,84.8,49.1,66.0,20.5
76.6,89.6,84.5,38.8,34.7
170.5,68.8,69.3,54.1,20.3
86.9,85.0,55.5,58.7,12.1
90.1,63.8,61.2,77.7,22.5
135.6,52.4,78.9,77.5,17.0
81.0,63.3,54.4,67.1,26.9
116.0,59.5,48.1,42.6,40.1
72.3,146.4,121.6,83.5,13.0
74.6,70.0,58.6,67.0,22.3
84.5,58.3,54.4,65.4,20.1
169.3,99.2,63.1,63.8,14.3
130.6,69.3,94.4,73.0,48.2
139.9,114.1,48.2,42.6,22.3
112.3,59.6,45.7,85.3,13.7
99.2,70.6,64.5,54.9,15.9
130.6,86.2,67.3,60.6,17.8
85.4,73.8,36.3,60.5,36.9
60.4,73.9,68.8,53.6,28.4
102.8,55.0,67.2,46.7,27.5
78.6,77.3,56.6,60.6,27.0
117.8,67.3,56.2,53.5,25.2
124.1,82.8,74.1,39.4,15.2
79.8,132.9,33.8,48.5,16.2
59.7,82.2,49.6,53.9,35.0
166.0,88.0,59.2,86.9,23.2
71.0,41.4,50.3,41.1,22.2
154.5,68.8,59.7,47.6,11.0
131.3,31.5,64.8,47.0,18.6
97.0,33.9,62.9,53.5,28.3
117.4,68.0,54.6,35.3,24.2
124.7,106.5,67.9,77.2,22.3
112.4,79.7,44.8,81.9,24.5
31.1,76.5,64.1,51.3,34.0
119.4,65.5,76.5,66.1,28.4
67.7,79.9,49.7,69.1,25.0
17.6,73.0,73.6,44.1,34.0
117.6,69.4,67.4,63.6,25.8
81.2,113.2,63.1,51.1,12.4
77.0,106.3,101.3,62.2,18.6
80.3,70.6,92.7,73.7,49.9
110.4,64.0,77.1,59.4,22.2
66.4,77.9,64.8,63.7,17.6
114.3,78.6,72.9,57.0,27.2
